Koordinatensystem : Lambert konform konisch
Rechtswert        : 4218500 Meter
Hochwert          : 2850500 Meter
Hoehenlage        : 45 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4218500 2850500  1  6 15  -4.7 1007  76  4.2 8  2.4  87    0   32 257 -285  0
4218500 2850500  1  6 16  -5.1 1008  84  4.2 7  2.3  86    0   10 256 -283  0
4218500 2850500  1  6 17  -5.3 1009  79  4.1 8  2.2  85    0    0 255 -281  0
4218500 2850500  1  6 18  -5.9 1010  71  4.6 8  2.1  85    0    0 259 -278  0
4218500 2850500  1  6 19  -6.4 1011  70  4.8 7  2.0  85    0    0 253 -276  0
4218500 2850500  1  6 20  -7.2 1012  66  5.1 7  1.9  84    0    0 245 -274  0
4218500 2850500  1  6 21  -7.9 1013  69  5.0 7  1.8  86    0    0 242 -274  0
4218500 2850500  1  6 22  -8.5 1014  87  4.0 7  1.8  87    0    0 238 -273  0
4218500 2850500  1  6 23  -8.6 1014  80  4.2 7  1.7  86    0    0 235 -274  0
4218500 2850500  1  6 24  -8.8 1014  64  3.2 8  1.7  86    0    0 238 -276  0
4218500 2850500  1  7  1  -8.6 1015  69  2.9 8  1.7  86    0    0 241 -276  0
4218500 2850500  1  7  2  -9.2 1015  80  2.9 7  1.7  86    0    0 235 -276  0
4218500 2850500  1  7  3  -9.3 1016  65  2.9 7  1.6  87    0    0 230 -277  0
4218500 2850500  1  7  4  -9.5 1016  54  2.6 8  1.6  86    0    0 233 -276  0
4218500 2850500  1  7  5  -9.8 1016  39  2.9 7  1.5  84    0    0 232 -275  0
4218500 2850500  1  7  6 -10.3 1016  70  2.8 7  1.5  85    0    0 228 -276  0
4218500 2850500  1  7  7 -10.5 1016  31  2.6 6  1.4  84    0    0 223 -275  0
4218500 2850500  1  7  8 -10.8 1016  46  1.7 7  1.4  84    0    0 222 -272  0
4218500 2850500  1  7  9 -11.2 1016  94  2.0 7  1.4  85    0    8 223 -271  0
4218500 2850500  1  7 10 -10.9 1017 122  1.0 6  1.4  85   33   38 218 -270  0
4218500 2850500  1  7 11 -10.3 1018 222  1.0 4  1.4  84   64   71 209 -271  0
4218500 2850500  1  7 12  -9.6 1017 332  1.5 2  1.4  81   82   92 197 -275  0
4218500 2850500  1  7 13  -9.2 1016 353  1.5 1  1.5  78  106   87 187 -277  0
4218500 2850500  1  7 14  -8.5 1016 331  1.2 0  1.5  76   95   79 180 -278  0
4218500 2850500  1  7 15  -8.6 1016 341  2.6 0  1.5  74   45   65 177 -277  0
4218500 2850500  1  7 16  -9.3 1015 343  2.0 0  1.4  72    6   27 176 -273  0
4218500 2850500  1  7 17 -10.7 1015 312  1.1 0  1.3  76    0    0 175 -269  0
4218500 2850500  1  7 18 -12.1 1016 299  1.4 1  1.3  81    0    0 176 -265  0
4218500 2850500  1  7 19 -12.4 1016 339  1.3 0  1.2  84    0    0 173 -263  0
4218500 2850500  1  7 20 -13.4 1016 332  1.2 0  1.2  86    0    0 168 -262  0
4218500 2850500  1  7 21 -13.9 1016 168  1.1 0  1.2  87    0    0 166 -261  0
4218500 2850500  1  7 22 -13.7 1016 143  1.2 2  1.2  88    0    0 173 -261  0
4218500 2850500  1  7 23 -12.7 1015 177  1.1 3  1.2  90    0    0 185 -260  0
4218500 2850500  1  7 24 -11.4 1015   4  0.2 6  1.3  90    0    0 203 -260  0
4218500 2850500  1  8  1 -11.4 1015 323  0.8 6  1.4  88    0    0 215 -260  0
4218500 2850500  1  8  2 -12.0 1015 324  1.7 5  1.3  87    0    0 212 -260  0
4218500 2850500  1  8  3 -12.1 1015 321  1.3 5  1.3  86    0    0 209 -261  0
4218500 2850500  1  8  4 -12.6 1015 340  1.6 4  1.3  86    0    0 206 -263  0
4218500 2850500  1  8  5 -12.8 1015 336  1.1 4  1.2  86    0    0 201 -264  0
4218500 2850500  1  8  6 -13.9 1015 341  1.1 4  1.2  89    0    0 199 -265  0
4218500 2850500  1  8  7 -14.0 1016 290  0.9 4  1.1  88    0    0 196 -267  0
4218500 2850500  1  8  8 -13.3 1016 358  0.3 6  1.1  87    0    0 205 -269  0
4218500 2850500  1  8  9 -12.7 1016 296  1.0 7  1.2  87    2    9 219 -270  0
4218500 2850500  1  8 10 -12.3 1016 320  1.1 5  1.3  88   35   42 216 -274  0
4218500 2850500  1  8 11 -10.8 1017 351  1.0 4  1.4  88   76   71 206 -279  0
4218500 2850500  1  8 12  -9.0 1017 320  0.9 2  1.5  85  132   77 197 -284  0
4218500 2850500  1  8 13  -7.8 1016 173  1.7 1  1.6  78  141   77 191 -287  0
4218500 2850500  1  8 14  -8.1 1016 115  1.7 1  1.6  75   99   84 189 -289  0
4218500 2850500  1  8 15  -7.6 1016  97  1.3 1  1.6  76   55   66 190 -287  0
