Koordinatensystem : Lambert konform konisch
Rechtswert        : 4218500 Meter
Hochwert          : 2850500 Meter
Hoehenlage        : 45 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4218500 2850500  1  4  2   5.6 1012 222  6.0 8  5.0  88    0    0 317 -319  1
4218500 2850500  1  4  3   5.6 1012 227  6.4 8  5.1  89    0    0 318 -321  1
4218500 2850500  1  4  4   5.5 1011 238  6.2 8  5.1  90    0    0 319 -322  1
4218500 2850500  1  4  5   5.7 1011 225  5.9 8  5.0  89    0    0 320 -324  1
4218500 2850500  1  4  6   5.9 1011 229  6.1 8  4.9  86    0    0 320 -324  1
4218500 2850500  1  4  7   5.6 1011 244  5.8 8  4.9  86    0    0 322 -324  1
4218500 2850500  1  4  8   5.6 1011 248  5.8 8  5.0  88    0    0 324 -324  1
4218500 2850500  1  4  9   5.8 1011 242  4.8 8  5.0  88    1    7 327 -324  1
4218500 2850500  1  4 10   5.7 1012 257  3.5 8  5.1  89    0   21 329 -325  1
4218500 2850500  1  4 11   5.8 1012 242  3.8 8  5.2  91    0   27 330 -326  1
4218500 2850500  1  4 12   5.7 1012 232  3.5 8  5.2  92    0   30 331 -327  1
4218500 2850500  1  4 13   5.8 1012 227  3.0 8  5.2  92    0   43 332 -329  1
4218500 2850500  1  4 14   6.0 1012 227  3.1 8  5.2  90    0   43 334 -330  1
4218500 2850500  1  4 15   5.9 1012 221  3.0 8  5.2  89    0   31 335 -330  1
4218500 2850500  1  4 16   5.6 1011 219  3.0 8  5.2  91    0   11 336 -330  1
4218500 2850500  1  4 17   5.3 1011 198  3.0 8  5.3  94    0    0 334 -329  1
4218500 2850500  1  4 18   5.3 1010 177  3.4 8  5.3  95    0    0 334 -328  1
4218500 2850500  1  4 19   5.1 1009 202  4.5 8  5.2  95    0    0 333 -328  1
4218500 2850500  1  4 20   4.9 1009 189  4.0 8  5.2  95    0    0 333 -328  1
4218500 2850500  1  4 21   4.7 1008 190  4.4 8  5.2  97    0    0 332 -328  1
4218500 2850500  1  4 22   4.9 1007 209  4.8 8  5.3  99    0    0 331 -328  1
4218500 2850500  1  4 23   5.0 1007 211  5.0 8  5.3  97    0    0 330 -328  1
4218500 2850500  1  4 24   5.2 1006 214  4.8 8  5.3  96    0    0 328 -328  1
4218500 2850500  1  5  1   5.6 1005 238  6.3 8  5.4  97    0    0 328 -328  1
4218500 2850500  1  5  2   6.4 1005 239  6.7 7  5.6  95    0    0 322 -329  1
4218500 2850500  1  5  3   6.5 1005 250  6.5 6  5.4  89    0    0 307 -330  1
4218500 2850500  1  5  4   6.6 1005 262  7.6 7  5.2  86    0    0 307 -330  1
4218500 2850500  1  5  5   6.4 1005 253  8.3 7  5.0  82    0    0 314 -331  1
4218500 2850500  1  5  6   5.5 1006 268  8.8 4  4.7  81    0    0 288 -332  1
4218500 2850500  1  5  7   4.7 1007 277  8.0 3  4.4  79    0    0 257 -332  1
4218500 2850500  1  5  8   4.4 1009 276  8.0 3  4.1  77    0    0 251 -332  1
4218500 2850500  1  5  9   4.3 1010 270  7.5 4  4.1  78    3    8 262 -333  1
4218500 2850500  1  5 10   3.8 1011 277  7.0 4  4.0  79   45   43 269 -333  1
4218500 2850500  1  5 11   4.2 1012 271  7.1 3  4.0  80  107   66 262 -334  1
4218500 2850500  1  5 12   5.2 1013 274  7.5 2  4.1  78  130   90 251 -335  1
4218500 2850500  1  5 13   5.1 1014 282  7.0 3  4.2  76   99  106 249 -337  1
4218500 2850500  1  5 14   5.5 1014 266  6.9 3  4.2  75   71  100 255 -338  1
4218500 2850500  1  5 15   5.5 1015 279  5.2 2  4.1  74   48   72 248 -337  1
4218500 2850500  1  5 16   4.9 1015 274  4.2 4  4.0  73    7   28 251 -333  1
4218500 2850500  1  5 17   3.5 1016 257  3.6 3  3.9  76    0    0 250 -329  1
4218500 2850500  1  5 18   3.6 1016 259  2.7 2  3.9  80    0    0 233 -324  1
4218500 2850500  1  5 19   2.8 1017 217  2.8 0  3.9  81    0    0 215 -320  1
4218500 2850500  1  5 20   2.0 1017 232  2.9 0  3.8  85    0    0 202 -317  1
4218500 2850500  1  5 21   1.3 1017 220  2.3 0  3.7  87    0    0 201 -315  1
4218500 2850500  1  5 22   0.9 1017 216  2.5 1  3.6  88    0    0 207 -315  1
4218500 2850500  1  5 23   0.1 1017 172  2.0 1  3.5  89    0    0 214 -314  1
4218500 2850500  1  5 24   0.0 1017 167  1.9 1  3.4  90    0    0 216 -313  1
4218500 2850500  1  6  1  -0.4 1017 181  2.6 1  3.4  92    0    0 218 -312  1
4218500 2850500  1  6  2  -0.8 1017 167  2.1 0  3.4  93    0    0 215 -311  1
4218500 2850500  1  6  3  -1.1 1017 156  2.6 0  3.3  94    0    0 212 -311  1
4218500 2850500  1  6  4  -1.1 1016 176  3.3 0  3.3  94    0    0 214 -311  1
4218500 2850500  1  6  5  -1.4 1016 158  1.9 0  3.3  95    0    0 216 -311  1
4218500 2850500  1  6  6  -1.4 1016 159  2.3 0  3.3  95    0    0 216 -311  1
4218500 2850500  1  6  7  -1.3 1015 166  3.4 0  3.2  94    0    0 218 -311  1
4218500 2850500  1  6  8  -1.4 1015 168  3.4 0  3.2  94    0    0 219 -311  1
4218500 2850500  1  6  9  -1.1 1015 164  2.9 0  3.3  95    4    7 219 -311  1
4218500 2850500  1  6 10  -0.4 1015 179  3.8 0  3.4  94    2   33 219 -312  1
4218500 2850500  1  6 11   1.0 1015 177  3.2 1  3.5  91  109   46 225 -313  1
4218500 2850500  1  6 12   2.7 1015 177  3.5 0  3.8  87  188   50 228 -314  1
4218500 2850500  1  6 13   3.9 1015 189  5.2 0  4.0  84  188   56 228 -317  1
4218500 2850500  1  6 14   4.6 1014 187  4.8 0  4.1  80  141   63 230 -319  1
4218500 2850500  1  6 15   4.7 1013 191  4.3 1  4.2  79   77   55 234 -320  1
4218500 2850500  1  6 16   4.6 1013 182  4.0 1  4.2  80   12   27 238 -319  1
4218500 2850500  1  6 17   3.7 1013 184  3.9 3  4.2  83    0    0 247 -316  1
4218500 2850500  1  6 18   3.3 1012 179  3.8 5  4.2  86    0    0 263 -315  1
4218500 2850500  1  6 19   3.0 1012 194  4.9 5  4.1  87    0    0 271 -316  1
