     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4218500 2850500  1  4 17  -5.3 1015 100  5.3 7  1.9  73    0    0 246 -287  2
4218500 2850500  1  4 18  -5.2 1015 100  5.7 7  1.9  73    0    0 245 -287  2
4218500 2850500  1  4 19  -5.2 1014  99  5.2 7  1.9  74    0    0 246 -287  2
4218500 2850500  1  4 20  -5.3 1014 107  4.7 6  1.9  76    0    0 241 -287  2
4218500 2850500  1  4 21  -5.3 1014 100  4.9 6  2.0  77    0    0 236 -286  2
4218500 2850500  1  4 22  -5.3 1013 110  4.5 4  2.0  78    0    0 226 -286  2
4218500 2850500  1  4 23  -5.5 1013 106  5.5 3  2.0  79    0    0 208 -286  2
4218500 2850500  1  4 24  -5.3 1013 109  5.5 3  2.0  80    0    0 201 -285  2
4218500 2850500  1  5  1  -4.8 1012 119  5.2 3  2.1  81    0    0 202 -285  2
4218500 2850500  1  5  2  -4.5 1012 125  4.6 4  2.2  81    0    0 208 -285  2
4218500 2850500  1  5  3  -4.1 1012 118  4.6 5  2.3  82    0    0 222 -285  2
4218500 2850500  1  5  4  -3.6 1011 118  5.1 7  2.3  82    0    0 243 -285  2
4218500 2850500  1  5  5  -3.1 1011 126  4.9 8  2.4  82    0    0 265 -285  2
4218500 2850500  1  5  6  -2.8 1010 128  5.1 8  2.5  82    0    0 275 -286  2
4218500 2850500  1  5  7  -2.6 1010 132  5.2 8  2.5  81    0    0 277 -287  2
4218500 2850500  1  5  8  -2.5 1009 137  5.0 8  2.5  80    0    0 279 -288  2
4218500 2850500  1  5  9  -2.2 1009 131  5.3 7  2.6  80    0    3 271 -289  2
4218500 2850500  1  5 10  -1.7 1009 139  5.9 7  2.6  79    1   30 261 -291  2
4218500 2850500  1  5 11  -1.3 1008 140  5.8 8  2.6  77    0   50 273 -294  2
4218500 2850500  1  5 12  -0.9 1008 141  5.3 8  2.6  74    1   70 287 -297  2
4218500 2850500  1  5 13  -0.4 1007 141  5.7 8  2.6  71    1   72 289 -301  2
4218500 2850500  1  5 14  -0.1 1006 142  5.4 7  2.6  70    1   63 278 -304  2
4218500 2850500  1  5 15  -0.1 1005 139  5.6 8  2.7  72    2   48 279 -306  2
4218500 2850500  1  5 16  -0.2 1005 149  4.8 8  2.8  74    0   16 294 -306  2
4218500 2850500  1  5 17  -0.2 1005 140  5.5 8  2.9  77    0    0 293 -304  2
4218500 2850500  1  5 18  -0.4 1005 139  5.5 8  3.1  82    0    0 293 -304  2
4218500 2850500  1  5 19  -0.5 1004 151  5.2 8  3.2  86    0    0 296 -306  2
4218500 2850500  1  5 20  -0.2 1004 162  5.0 8  3.2  86    0    0 298 -307  2
4218500 2850500  1  5 21  -0.1 1004 164  5.0 8  3.2  84    0    0 300 -310  2
4218500 2850500  1  5 22  -0.1 1003 163  4.9 7  3.1  82    0    0 292 -312  2
4218500 2850500  1  5 23  -0.3 1003 159  4.7 4  3.1  83    0    0 267 -313  2
4218500 2850500  1  5 24  -0.8 1003 159  3.9 2  3.1  84    0    0 235 -314  2
4218500 2850500  1  6  1  -1.2 1002 161  4.3 1  3.1  87    0    0 217 -314  2
4218500 2850500  1  6  2  -1.3 1002 152  3.7 2  3.1  88    0    0 212 -314  2
4218500 2850500  1  6  3  -1.1 1001 160  4.0 3  3.1  90    0    0 221 -314  2
4218500 2850500  1  6  4  -1.5 1001 147  3.5 4  3.1  90    0    0 240 -315  2
4218500 2850500  1  6  5  -1.5 1001 146  3.4 4  3.1  91    0    0 252 -315  2
4218500 2850500  1  6  6  -0.9 1001 139  3.6 6  3.2  90    0    0 267 -315  2
4218500 2850500  1  6  7  -0.6 1000 144  3.5 7  3.3  90    0    0 285 -314  2
4218500 2850500  1  6  8  -0.3 1000 150  3.2 8  3.4  91    0    0 299 -314  2
4218500 2850500  1  6  9   0.0 1000 152  3.4 8  3.5  92    0    8 306 -314  2
4218500 2850500  1  6 10   0.2 1001 162  2.4 8  3.6  93    3   42 307 -314  2
4218500 2850500  1  6 11   0.3 1001 182  2.3 8  3.8  97    0   35 308 -315  2
4218500 2850500  1  6 12   0.4 1001 189  2.3 8  3.9  99    0   28 308 -315  2
4218500 2850500  1  6 13   0.7 1001 200  2.6 8  4.0  99    0   32 309 -319  2
4218500 2850500  1  6 14   1.1 1001 250  2.6 7  4.1 100    0   23 305 -321  2
4218500 2850500  1  6 15   1.5 1002 290  4.4 8  4.2 100    0   13 306 -320  2
4218500 2850500  1  6 16   1.6 1003 294  4.8 7  4.3 100    0    2 307 -319  2
4218500 2850500  1  6 17   1.8 1005 283  4.2 7  4.3  99    0    0 301 -319  2
4218500 2850500  1  6 18   2.3 1006 283  4.4 7  4.4  99    0    0 302 -319  2
4218500 2850500  1  6 19   2.6 1007 279  5.1 8  4.5  99    0    0 309 -319  2
4218500 2850500  1  6 20   2.6 1008 281  4.6 8  4.5  98    0    0 316 -318  2
4218500 2850500  1  6 21   2.6 1009 260  3.0 8  4.5  98    0    0 315 -318  2
4218500 2850500  1  6 22   2.4 1009 251  2.7 7  4.5  99    0    0 308 -318  2
4218500 2850500  1  6 23   2.6 1010 220  2.4 7  4.5  99    0    0 301 -318  2
4218500 2850500  1  6 24   2.2 1010 226  2.5 7  4.5  99    0    0 300 -318  2
4218500 2850500  1  7  1   2.3 1011 216  2.5 8  4.4  97    0    0 304 -318  2
4218500 2850500  1  7  2   2.0 1011 216  2.3 8  4.3  97    0    0 309 -317  2
4218500 2850500  1  7  3   2.0 1011 208  2.8 7  4.3  98    0    0 302 -316  2
4218500 2850500  1  7  4   1.5 1010 175  2.6 6  4.2  97    0    0 290 -315  2
4218500 2850500  1  7  5   0.6 1010 168  2.7 2  4.0  97    0    0 258 -315  2
4218500 2850500  1  7  6   0.0 1010 166  3.2 0  3.8  97    0    0 219 -313  2
4218500 2850500  1  7  7  -0.5 1009 160  3.7 0  3.7  98    0    0 206 -311  2
4218500 2850500  1  7  8  -0.6 1008 159  4.0 0  3.6  98    0    0 202 -311  2
4218500 2850500  1  7  9  -0.2 1007 132  3.9 4  3.6  98    2    9 227 -312  2
4218500 2850500  1  7 10   0.7 1006 142  4.8 6  3.7  96    9   37 265 -314  2
4218500 2850500  1  7 11   1.1 1005 154  5.0 6  3.8  92    1   56 279 -315  2
4218500 2850500  1  7 12   1.0 1004 158  4.6 7  3.8  91    0   20 285 -316  2
4218500 2850500  1  7 13   1.1 1003 164  4.0 8  3.9  95    0   42 297 -317  2
